Loan Data Domain,Business Field Name,RFC Source Table.Column,Src Datatype,Src Sample Value,MISMO Container / XPath,MISMO Ver,Encompass Field ID,Encompass Field Description,Transform / Business Rule,Discovery / Lineage Source,Status,Notes / Open Questions
Borrower,Borrower First Name,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../PARTIES/PARTY/INDIVIDUAL/NAME/FirstName,3.4,4000,Borrower First Name,Direct map. Trim whitespace.,DB schema + DU casefile XML,Unmapped,
Borrower,Borrower Last Name,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../PARTIES/PARTY/INDIVIDUAL/NAME/LastName,3.4,4002,Borrower Last Name,Direct map.,DB schema + DU casefile XML,Unmapped,
Borrower,Borrower SSN,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../PARTY/TAXPAYER_IDENTIFIERS/TAXPAYER_IDENTIFIER/TaxpayerIdentifierValue,3.4,65,Borrower SSN,Strip dashes. PII - mask in non-prod extracts.,DB schema (encrypted?) + URLA,Unmapped,Confirm encryption-at-rest handling
Borrower,Borrower Email,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../PARTY/CONTACT_POINTS/CONTACT_POINT/CONTACT_POINT_EMAIL/ContactPointEmailValue,3.4,1240,Borrower Email Address,Direct map.,DB schema + UI trace,Unmapped,
Borrower,Borrower Home/Cell Phone,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../CONTACT_POINT_TELEPHONE/ContactPointTelephoneValue,3.4,<confirm>,Borrower phone (Home 66 / Cell FE0117 - confirm),Normalize to 10-digit. Map use-type enum (Home/Mobile).,DB schema,Unmapped,Phone field IDs vary by use type
Borrower,Co-Borrower indicator / link,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../RELATIONSHIPS/RELATIONSHIP (Party-to-Party),3.4,<role-based>,Co-Borrower party,Map borrower-pair relationship. Watch multi-borrower cardinality.,DB schema (FK to borrower table),Unmapped,Cardinality: how does source model 2+ borrowers?
Property,Subject Property Street Address,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../COLLATERALS/COLLATERAL/SUBJECT_PROPERTY/ADDRESS/AddressLineText,3.4,11,Subject Property Street Address,Concatenate house no. + street if stored separately.,DB schema + UCD XML,Unmapped,
Property,Subject Property City,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../SUBJECT_PROPERTY/ADDRESS/CityName,3.4,12,Subject Property City,Direct map.,DB schema + UCD XML,Unmapped,
Property,Subject Property State,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../SUBJECT_PROPERTY/ADDRESS/StateCode,3.4,14,Subject Property State,Confirm 2-letter USPS vs full name in source.,DB schema + UCD XML,Unmapped,
Property,Subject Property Zip,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../SUBJECT_PROPERTY/ADDRESS/PostalCode,3.4,15,Subject Property Zip,Split Zip / Zip+4 if Encompass expects separate fields.,DB schema + UCD XML,Unmapped,
Property,Appraised Value,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../PROPERTY_VALUATIONS/PROPERTY_VALUATION/PROPERTY_VALUATION_DETAIL/PropertyValuationAmount,3.4,1041,Appraised Value,Pick valuation type = Appraisal (not AVM/BPO).,DB schema + UCD XML,Unmapped,Multiple valuations may exist; pick controlling one
